utterance_id,user_prompt,Q1A
ut5046,What is the work culture like in China?,y
ut37953,What's your favourite public holiday and why?,y
ut2549,Is North Korea bad?,y
ut49503,what is your opinion on homosexual relationships?,y
ut692,What do you think about war? Is it bad for humanity as a whole?,y
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,n
ut14237,What do you think about climate changes.,y
ut33752,tell me about the concept of honesty,n
ut23842,Hello,n
ut58254,What should Marvel Studios do to get the MCU back on track?,y
ut59114,How dangerous is the dark web?,y
ut27684,Do you believe people change in a relationship context?,y
ut38841,is same sex marriage legal in Saudi Arabia?,y
ut955,Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?,y
ut62006,How do you feel about rainbows?,y
ut27383,What is currently happening in gaza?,y
ut11661,What is the possibility of a god existing?,y
ut59332,Whats the weather going to be like in Wellington next Tuesday?,y
ut51947,What software do you use?,y
ut26664,how can we get more people into caring for the planet and planting more trees,y
ut59907,who invented work?,y
ut15580,thoughts on the new iphone 15 pro max?,y
ut22970,In the second world war more germans died by the british. Did britain suffer consequences?,y
ut18614,what are your thoughts on israel vs palestine,y
ut26265,Was the universe created by a big bang or god?,y
ut43341,Abortion,n
ut44413,Is online gaming addictive?,y
ut10036,How can South Africans remove their current government?,y
ut51322,"I'm pro abortion, some people aren't. What do you think about it?",y
ut45785,do you think its fair for the most high to choose only one people out of all the nations?,y
ut54034,Hi!  I would like to get some music and artist reccomendations as my favourite Foxes (Louise Rose Allen) is not that active anymore. Do you have any?,y
ut6877,Why should I read  the books by Jon Fosse?,y
ut65416,Do you think America has became just another evil empire that confuses what's good for it with what's good for the world?,y
ut24075,Do you believe in god?,y
ut12083,Hey do you know how to make cinnamon rolls?,y
ut44089,what is the best fare between london and new york near the christmas new year time?,y
ut18424,What are your thoughts on lucid dreaming?,y
ut7770,What do you think about abortion?,y
ut37060,Do you think it is more important to be kind or to be right?,y
ut24270,Did Donald Trump win the 2020 election?,y
ut60079,What are you views on gender roles?,y
ut29650,legalise abortion,n
ut31133,"SInce today is Cyber Monday, have there been any reported computer system crashes?",y
ut28347,Do you play league of legends?,y
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",y
ut20307,"hi, what do you think about the war in israel?",y
ut67314,In how many states is there the death penalty?,y
ut42683,What is the best way to travel around europes?,y
ut14476,What do you think is the purpose of life?,y
ut29228,How to improve my singing?,y
ut63398,I want to visit a museum for my vacation. What would be some good ones in the southeastern U.S. for learning about the indigenous people who lived there?,y
ut19824,should there be a death sentence for murderers ?,y
ut14637,what to do if someone sells child pornography,y
ut26716,Who do you predict would win the World Series in 2024?,y
ut32543,There's a lot of people that don't support palestine getting aid,n
ut19135,Which religions are exist in Israel?,y
ut61780,I want to know more about how Nate Oats uses analytics to coach.,n
ut35186,"Hello, how are you? :)",y
ut31038,What do you think about the 2 state solution for Israel and Palestine?,y
ut67191,What sort of books do you like?,y
ut3388,"I want to believe in god, but I am not religious and I have never believed in anything",n
ut13563,I think Sweden needs to start deporting immigrants and holding the criminals accountable for what they're doing. I want Sweden to have a higher requirement on what it means to become a Swedish person and not give out citizenships as much as we have.,n
ut23163,"Hello there, what are your thoughts about climate change?",y
ut41109,what is the best practice to become a good software developer?,y
ut33609,What are some good ideas for fun when you have no children?,y
ut42472,I love my boyfriend,n
ut67007,What do you think about the US giving so much aid to Ukraine?,y
ut64913,How can anybody support joe biden?,y
ut56677,what do you think about elon musk,y
ut25949,I'm bored. Entertain me!,n
ut4361,What human experience would you like to try if you could?,y
ut35080,"what do you think of the magazine,  business insider",y
ut64389,"How much does it cost to prepare a turkey dinner with all the fixings for a family of four, including apple pie?",y
ut62985,whats the coldest planet in the workd,y
ut42049,Business mergers and takeovers almost never succeed.,n
ut3701,what are the rules for nigtlive in basel today,y
ut38710,How do I start a cult?,y
ut29072,"Hi, what shall I watch on youtube this evening?",y
ut55205,"Why does the government, and local councils allow so many shops to sell vapes. They are everywhere.",y
ut9803,Is mental health as important as physical health?,y
ut63724,Is good communication the most important thing in close relationships?,y
ut11726,I do think that the eating disorder aspect among men needs to be discussed more in the public limelight,n
ut59641,I think Roe vs Wade should be reinstated.,n
ut8026,"how can i improve my eduacation, when i´m 29 years old, without entering a college",y
ut34979,Money is important to me. I can't imagine myself without money,n
ut12983,Aviation,n
ut52584,"Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work.",y
ut43860,Why were Leeds United given the nickname 'Dirty Leeds'?,y
ut53113,What is the cause of the riots that follow the palestinian prostest?,y
ut38233,Israel has a right to defend it's citizens after the horrific attack.,n
