attribute,ate,se,p_value,ci_low,ci_high,levene_stat,levene_p_value,llm
affinity_experimental,-0.06511586327620378,0.003398156930468368,5.033425457432331e-81,-0.07177658217905107,-0.058455144373356485,76.78990887629902,2.069887022718101e-18,Full Sample
affinity_experimental,-0.04498063189751434,0.015904635416958208,0.0047920666684902425,-0.07619764749420685,-0.013763616300821836,0.9877656147797268,0.3205722611380042,mistral-small
affinity_experimental,-0.03882990827649097,0.015386282011091034,0.011796185124181324,-0.06902977486483877,-0.008630041688143176,1.4468056263836722,0.22937852276504206,gemma-2-27b-it
affinity_experimental,-0.06873443990632336,0.012109666455970126,1.890132183333016e-08,-0.09250271478164161,-0.044966165031005104,15.218000475657378,0.00010333069922247158,gemma-3n-E4B-it
affinity_experimental,-0.04943926904449611,0.015688638047452335,0.00168238337597954,-0.08023217840224195,-0.01864635968675027,0.10097785415549414,0.7507371754947312,o4-mini
affinity_experimental,-0.0663947005271872,0.01444272957058409,4.939095246566259e-06,-0.09474258248390799,-0.038046818570466406,8.142653656623521,0.004429383886276987,gemini-2.5-flash
affinity_experimental,-0.09008173064871146,0.016458034197760464,5.808019268824616e-08,-0.1223847740184077,-0.05777868727901522,2.998264325262138,0.08371574796955161,gpt-4.1
affinity_experimental,-0.06788103115456628,0.016119087746728385,2.810234878546134e-05,-0.09951880662068849,-0.03624325568844409,0.03627866165685549,0.8489865501120832,gpt-4.1-mini
affinity_experimental,-0.04907465684074956,0.015114399172627595,0.0012123635388951585,-0.07874047756475364,-0.01940883611674549,1.8988804000933683,0.1685654817160575,Qwen2.5-72B-Instruct-Turbo
affinity_experimental,-0.06919410037231494,0.014962699941687276,4.350437679523436e-06,-0.09856297269287928,-0.039825228051750594,5.028998145500197,0.025187684262052888,DeepSeek-R1
affinity_experimental,-0.05118509849765243,0.014571753331833014,0.0004670967020988062,-0.07978593561912724,-0.02258426137617763,11.524292128516805,0.0007187421624404076,Llama-3.3-70B-Instruct-Turbo
affinity_experimental,-0.06109953124583009,0.014755804766884543,3.8073198655665885e-05,-0.09006156841339512,-0.032137494078265064,0.16379965001047087,0.6857837988433637,QwQ-32B
affinity_experimental,-0.12675574479156854,0.015550769580251204,1.2828656254923079e-15,-0.1572780525074781,-0.09623343707565898,6.781297464401984,0.00937218040988899,claude-sonnet-4-20250514
affinity_experimental,-0.05218295187587842,0.014384670933915687,0.00030299409867737156,-0.08041649686998939,-0.023949406881767436,7.587697179668825,0.006002070544518256,DeepSeek-R1-0528-tput
affinity_experimental,-0.05496129101405112,0.014920127668694173,0.00024437505100952057,-0.08424580490993404,-0.025676777118168195,3.7229297706280153,0.054001887346137346,Llama-4-Scout-17B-16E-Instruct
affinity_experimental,-0.05782240969483558,0.01580460933840531,0.0002692412385998761,-0.08884304579555721,-0.02680177359411395,0.8065388541051155,0.36939983325918235,mistral-medium-latest
affinity_experimental,-0.05919396532251808,0.01749064024491561,0.0007515061767484713,-0.09353168873512224,-0.02485624190991393,5.326488153855083,0.02128125425323302,magistral-medium-2506
affinity_experimental,-0.07389271604694868,0.01414179956085154,2.1909034560164376e-07,-0.10164965761971548,-0.046135774474181886,15.043552285795396,0.00011316944546429318,Meta-Llama-3-8B-Instruct-Lite
affinity_experimental,-0.10314225436385001,0.015350535626723043,3.3467045567408595e-11,-0.1332716532899348,-0.07301285543776523,13.074670186618786,0.0003169429113443332,claude-3-haiku-20240307
affinity_experimental,-0.01088479389929707,0.01635189212044784,0.5058088727974543,-0.042979506669750416,0.021209918871156273,0.38607001554787934,0.5345386380478359,gemini-1.5-pro
affinity_experimental,-0.08887887285245853,0.015528922962750474,1.4457024084713032e-08,-0.11935830107108868,-0.05839944463382839,8.9194699727889,0.0029022821919236085,claude-3-opus-20240229
affinity_experimental,-0.08167851266744683,0.016541399799408555,9.505988520259434e-07,-0.11414518205791932,-0.04921184327697434,2.622528955637071,0.10572647227939981,gpt-4.1-nano
compassion_experimental,-0.04829698679032426,0.003343504393018463,4.9776423192350075e-47,-0.05485058139116618,-0.04174339218948234,34.94791391489227,3.4484043054534578e-09,Full Sample
compassion_experimental,-0.05193818445737072,0.014408006547212216,0.00033057956163312483,-0.08021767363208025,-0.02365869528266119,2.7797187205595693,0.09583372981833364,mistral-small
compassion_experimental,-0.05164875313140471,0.014315055376442879,0.0003267144494083882,-0.07974603889945173,-0.023551467363357705,6.921477762771617,0.008671945459177498,gemma-2-27b-it
compassion_experimental,-0.049894688812646575,0.013623384751942427,0.00026525012968396633,-0.07663401765326464,-0.02315535997202852,3.9775916451422684,0.046427705026155154,gemma-3n-E4B-it
compassion_experimental,-0.030480323543325125,0.015125815842732121,0.044205796551020166,-0.060168552362068375,-0.0007920947245818773,5.861428323245559,0.015684240690450043,o4-mini
compassion_experimental,-0.037142901148936563,0.015010032609539177,0.013536385999411506,-0.06660427342640268,-0.007681528871470441,2.5803119640936614,0.10857437825697067,gemini-2.5-flash
compassion_experimental,-0.07763700604917988,0.015804207181991322,1.0785474026783907e-06,-0.10865674898378869,-0.04661726311457107,5.181832307589375,0.023071565736807947,gpt-4.1
compassion_experimental,-0.05501343692740005,0.015848525554952458,0.0005441831989023601,-0.08612016584749385,-0.023906708007306245,0.13007560325165107,0.7184430621181407,gpt-4.1-mini
compassion_experimental,-0.05039220065807983,0.014400067319888445,0.0004904063967059114,-0.0786559649431364,-0.022128436373023263,1.2651699548807884,0.2609915283364014,Qwen2.5-72B-Instruct-Turbo
compassion_experimental,-0.04249010112887825,0.016259819358915975,0.0091311562366273,-0.0744049667994114,-0.0105752354583451,1.6924795179399144,0.19363289102152823,DeepSeek-R1
compassion_experimental,-0.03726619277230031,0.014529132162384387,0.010490299796774573,-0.06578337481826241,-0.00874901072633821,2.2134244531565637,0.1371855401001784,Llama-3.3-70B-Instruct-Turbo
compassion_experimental,-0.05323861658728322,0.015179756264242818,0.00047653467998397595,-0.08303276689389513,-0.02344446628067131,0.3722754674242362,0.5419294396814613,QwQ-32B
compassion_experimental,-0.07029244910538598,0.01608662920831469,1.3981045426396454e-05,-0.10186651650276221,-0.03871838170800976,2.0575935846281403,0.1518161075721629,claude-sonnet-4-20250514
compassion_experimental,-0.034737681002342126,0.015597854475519578,0.02620248146707767,-0.06535240470157239,-0.004122957303111862,0.03436628667069896,0.8529739689296217,DeepSeek-R1-0528-tput
compassion_experimental,-0.03230939410538603,0.01490776939895813,0.030489475966086088,-0.06156965177975059,-0.00304913643102148,0.20407318510017233,0.6515679562470034,Llama-4-Scout-17B-16E-Instruct
compassion_experimental,-0.05856582410328634,0.015746817153894265,0.00021295615933846496,-0.08947302808513702,-0.02765862012143566,0.5473520471738156,0.4596059495570354,mistral-medium-latest
compassion_experimental,-0.020998985138305584,0.01737967326245684,0.22734088071481096,-0.05511885754612972,0.013120887269518555,0.21869523643447022,0.6401748853719706,magistral-medium-2506
compassion_experimental,-0.03480400500000025,0.01454786939659837,0.016955856538698296,-0.06335796371735236,-0.006250046282648143,1.7792576689284776,0.18259779366347506,Meta-Llama-3-8B-Instruct-Lite
compassion_experimental,-0.05932766020657285,0.015028843171229194,8.547130443010982e-05,-0.08882565443390478,-0.029829665979240926,4.451024562815938,0.035172078763163896,claude-3-haiku-20240307
compassion_experimental,-0.028812210231849718,0.015604063719636687,0.06517274384774202,-0.05943912113883504,0.001814700675135606,1.1721758399442066,0.2792609263781445,gemini-1.5-pro
compassion_experimental,-0.0494654557166272,0.01485614836585271,0.0009069691823372082,-0.07862439409300294,-0.02030651734025146,4.437164851952541,0.035456496406339424,claude-3-opus-20240229
compassion_experimental,-0.08341793944730624,0.015293591122315413,6.440467612234197e-08,-0.11343546957066578,-0.05340040932394671,1.7150536654709319,0.19068401877807611,gpt-4.1-nano
curiosity_experimental,-0.0334408235107369,0.002476198591620834,2.3406631868293417e-41,-0.03829441417882281,-0.028587232842650988,0.09645127447646967,0.7561341787496949,Full Sample
curiosity_experimental,-0.009154500468621877,0.01088121239613452,0.4004097619972281,-0.030511731752205704,0.01220273081496195,0.870015878610705,0.3512160911293123,mistral-small
curiosity_experimental,-0.03534421616389821,0.011114759608372262,0.001526836873417949,-0.05716002956784071,-0.013528402759955711,0.1346636894731124,0.7137367258430329,gemma-2-27b-it
curiosity_experimental,-0.07100904420140523,0.009629910119676578,3.930384604039082e-13,-0.08991017179078155,-0.05210791661202892,0.4399080782479054,0.5073462320038278,gemma-3n-E4B-it
curiosity_experimental,-0.009122850562060539,0.010191175842589252,0.3709482191753164,-0.029125603702296332,0.010879902578175255,0.6289589273821015,0.427958233003615,o4-mini
curiosity_experimental,-0.011773135754137468,0.010684666498002,0.27083140286699453,-0.03274477156245377,0.00919850005417883,0.8604884153002252,0.3538672414158842,gemini-2.5-flash
curiosity_experimental,-0.022848839440280627,0.010601345534682843,0.031419646070926,-0.043656654059513536,-0.002041024821047715,0.10261975803919987,0.7487867343514052,gpt-4.1
curiosity_experimental,-0.07385560085245856,0.012453557532413865,4.3871031646580256e-09,-0.0982988487059181,-0.04941235299899901,1.2985777680848618,0.2547934431507947,gpt-4.1-mini
curiosity_experimental,-0.013276851735363186,0.011633093853912634,0.2540657175240556,-0.036109732671886066,0.009556029201159694,0.017853911923317718,0.8937357834465374,Qwen2.5-72B-Instruct-Turbo
curiosity_experimental,-0.02046637017899766,0.009927779761062584,0.03956160788633719,-0.039952672608748255,-0.0009800677492470683,4.06577511756757,0.04407996074240063,DeepSeek-R1
